id,event_id,workspace_id,thread_id,intent,turn_intent,has_text,has_image,is_multimodal,confidence,created_at
1,631086d3-c94f-4f91-b627-24b7e5b079e2,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 14:49:16.77672+09
2,097296b2-292d-4a7a-ae11-f9805cb3aed5,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 14:49:16.962037+09
3,076ce241-45e8-4157-9519-0548ff8d8e8c,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 15:18:37.361971+09
4,5c80cb69-e86f-4b6e-86a3-210e06970c0f,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 15:18:37.53485+09
5,530b8280-fe99-45bf-b575-3cbe7e658a93,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 15:18:37.705835+09
6,19b91fdb-2db0-438f-8c67-064e93775f6f,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 15:18:37.877033+09
7,ecf02fe9-36c6-4144-a122-900d2cf7f123,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 15:18:38.048068+09
8,bc705975-b6cd-4ec0-a901-5af0815729b9,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 15:18:38.21912+09
9,085af807-a53e-4964-8017-889487a7e218,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 15:47:00.103052+09
10,283dfd79-ae1a-405c-9664-2480fc2c975b,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 15:47:00.290765+09
11,ad89dcb7-85c2-4812-8e29-b713c7529db3,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 15:47:00.477979+09
12,ea270546-9add-4bf8-80ed-c81b47f65920,97785933-7c12-4ad2-b888-7b4d864e1a0b,758,decision,,f,f,f,,2026-01-19 18:37:57.887521+09
13,2e8d640f-1b1a-43f3-9a65-86979b109aae,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:37:58.025524+09
14,eecab53c-0694-42f3-85fa-fc7a264dfd52,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:37:58.161702+09
15,592761d1-7e86-4a64-8f39-866d2ec1b6f7,97785933-7c12-4ad2-b888-7b4d864e1a0b,758,continuation,,f,f,f,,2026-01-19 18:37:58.297645+09
16,19463f97-777f-4fb7-9de0-22d2f16f5895,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:37:58.433691+09
17,97f9f60f-2b46-437f-a964-2120494d15f0,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:37:58.569998+09
19,cd151cc3-1cee-49f3-8f09-462f32ea06f1,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:37:58.70595+09
21,93155262-3311-4255-8a39-b31830c1f022,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:37:58.842423+09
23,78cdbfaf-ecdc-452e-a930-3aeac6f545b1,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:37:58.9782+09
25,5b3c8b1f-2d6a-4f6f-9902-667141cd52a2,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:37:59.113907+09
26,f5803fe5-7739-48f3-8a03-5b4bf4ad73d4,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:37:59.249401+09
28,40c955ea-6a1a-4d6d-9afe-eecfcca7f7f2,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:37:59.384726+09
30,90cb0488-8a36-4a27-8039-d3111f7afb1d,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:37:59.520309+09
32,1073ad49-f7e0-4554-9d33-9f1c730b4f94,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:37:59.655871+09
34,97fc448b-b38e-4ece-b92b-5f7caf897eaa,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:37:59.791395+09
36,ed8a0647-454e-4771-8039-f31b9324f122,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:37:59.926957+09
38,ae82a193-5bda-4570-9fb4-ad160c4274c2,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:00.062681+09
40,a2ce37e8-9661-4749-a597-7e3c6e1aa94f,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:00.198536+09
42,bf41810f-72e7-496c-8117-6e639821ed6b,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:00.333976+09
44,b885b18e-a6a0-45d7-808b-34f7bb6e3aeb,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:00.469647+09
45,42380891-7d92-44ca-905c-f655436cf3df,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:38:00.605473+09
47,5be6f0f4-53ea-4a10-a530-24ce88b96d82,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:38:00.741167+09
49,42e90237-7c88-451d-982d-01b94a38d483,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:00.876698+09
51,fe70ff75-511d-484c-9122-9a5ca69a3af7,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:01.012212+09
53,60927e19-f393-4099-bea9-910c24cd12c4,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:01.147582+09
55,c8c8aad9-5fde-42fc-8b80-36e150b72ada,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:38:01.282879+09
57,54ede65d-43fa-4fde-b673-5b888181b7a3,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:38:01.418338+09
59,3a608348-e37e-4720-a213-969fbefcfcf8,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:01.553979+09
61,3d2dbf16-d1eb-465e-b1a6-ff943dbe09ad,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:01.689525+09
62,43f5981d-17ba-4169-8072-93b288ff3f33,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:01.825091+09
64,60bff79a-28aa-4a5d-b9cb-0aa412e7236f,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:38:01.960709+09
66,65b9447b-aaa4-42db-97e3-b0cfc016409c,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:38:02.097669+09
68,21e7e3f4-a025-4527-980a-4979151234b4,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:02.232983+09
70,08dcfce3-d4e0-4548-9d8d-0204c466c6b5,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:02.368589+09
72,7df61027-4848-4bb6-b3be-0c98998b2bcb,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:02.503878+09
74,91ffde3c-5db1-484d-a1fc-217220164a7c,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:38:02.639621+09
76,4e05f0f7-e6af-4a74-9cf8-999a10957c28,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:38:02.775015+09
78,3ba5cc79-6d8f-4cc2-a45f-f4988ef2da86,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:02.910406+09
80,77845e9a-e5c1-428e-a617-93226156cdbf,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:03.045695+09
81,9d97662c-58e4-4cbc-96f8-c87cdc50b0e8,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:03.181596+09
83,0c7dd880-c20f-4ce1-84c6-6679ae7c5916,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:38:03.317199+09
85,cac1923b-1e95-40f0-bc1c-4f50488ebc0b,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:38:03.452637+09
87,b0190d59-3b16-42fc-94ed-e2c65029c154,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:03.588185+09
89,7148c777-837b-478c-8c32-be08ee005cf7,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:03.723777+09
91,952b539b-f2bc-4750-863a-dfe57303f8fd,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:03.860213+09
93,44ee95dc-6626-44df-b512-1704251adae5,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:38:03.996704+09
95,9e79c7b1-98b8-4162-a737-c368a7c99b7b,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:38:04.132339+09
97,91041d75-5107-448c-b8ae-29def5d41587,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:04.268097+09
99,28ee6ba3-f028-4ff7-bf4d-a205b7fbe510,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:04.403916+09
100,23bcd1c1-f710-4c07-abe8-ecd7c299e7cc,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:04.539189+09
102,2effd225-8c81-4cc1-b072-4aee07959780,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:04.674819+09
104,521c70c7-472f-4c1b-b55b-49dc4ffb7be1,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:38:04.810348+09
106,6f00be16-a44f-4267-b206-46c34f3afc9b,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:38:04.945884+09
108,172a941f-41e3-49df-b490-d1bc2cce1af8,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:05.081381+09
110,8f7bd45c-5dbb-4883-95a6-b9086b653916,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:05.217312+09
112,d14a6c8e-5577-4a31-8d4e-24a898df925e,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:05.352901+09
114,0cf9037e-c7bf-4fd5-9071-a01b215a6945,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:38:05.48822+09
116,6b5745d5-6f2e-4eed-b214-d7487f6f8e8d,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:38:05.624323+09
117,ac21a615-f775-4f10-aba2-b00ca946dfe8,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:05.759917+09
119,6ebc546a-cf39-4bb2-8dc3-bf3405512630,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:05.895269+09
121,5c7509ff-c9b5-447c-a158-c8fe02799a6d,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:06.030698+09
123,3e9a0d78-8bb8-4394-8e7b-05eb00a3bf3e,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,continuation,,f,f,f,,2026-01-19 18:38:06.16654+09
125,99721f5b-8a64-4ed7-b25f-542fbc79201f,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,question,,t,f,f,,2026-01-19 18:38:06.301924+09
127,1f921f6b-d2c1-4ace-8e0d-6bcda99593b1,97785933-7c12-4ad2-b888-7b4d864e1a0b,759,decision,,f,f,f,,2026-01-19 18:38:06.437901+09
129,5a28215e-04cf-4d49-a805-7e28d043d915,97785933-7c12-4ad2-b888-7b4d864e1a0b,,continuation,,f,f,f,,2026-01-19 18:38:06.573365+09
